'sample interval','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG'
'0.004 sec','nu','nu','nu','nu','nu','nu','nu','nu','nu','nu','nu','nu','nu','nu','nu','nu','nu','nu','nu','nu','nu','nu','nu','nu','nu','nu','nu','nu','nu','nu','nu','nu','nu','nu'
0,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.001,0.001,0.003,0.003,0.001,0.001,0.000,0.000,0.001,0.002,0.004,0.004,0.002,0.000,0.000,0.000,0.001,0.001,0.004,0.004,0.001,0.000,0.000,0.000,0.000
1,0.001,0.001,0.001,0.002,0.001,0.000,-0.000,-0.001,0.001,0.002,0.003,0.003,0.002,0.000,-0.001,-0.001,0.001,0.002,0.004,0.008,0.006,0.001,-0.001,-0.001,0.001,0.002,0.005,0.009,0.008,0.002,-0.000,-0.001,0.000,0.000
2,0.001,0.001,0.001,-0.000,-0.002,-0.003,-0.002,-0.002,0.001,0.002,0.003,0.001,-0.002,-0.004,-0.003,-0.002,0.002,0.003,0.006,0.008,0.001,-0.004,-0.003,-0.002,0.003,0.005,0.008,0.013,0.008,-0.001,-0.002,-0.002,0.000,-0.000
3,0.001,0.001,0.000,-0.002,-0.005,-0.006,-0.005,-0.004,0.002,0.003,0.003,-0.001,-0.007,-0.009,-0.007,-0.004,0.003,0.005,0.008,0.008,-0.004,-0.009,-0.007,-0.004,0.004,0.007,0.013,0.019,0.008,-0.003,-0.004,-0.003,0.000,-0.001
4,0.001,0.001,-0.001,-0.005,-0.010,-0.011,-0.009,-0.006,0.003,0.003,0.002,-0.004,-0.015,-0.016,-0.011,-0.007,0.005,0.008,0.011,0.008,-0.012,-0.017,-0.011,-0.007,0.007,0.011,0.019,0.026,0.008,-0.007,-0.007,-0.005,-0.000,-0.002
5,0.001,0.000,-0.003,-0.010,-0.016,-0.017,-0.013,-0.009,0.004,0.004,0.002,-0.009,-0.024,-0.024,-0.016,-0.011,0.007,0.010,0.013,0.006,-0.022,-0.026,-0.016,-0.010,0.009,0.015,0.025,0.033,0.008,-0.011,-0.010,-0.007,-0.001,-0.002
6,0.001,-0.000,-0.005,-0.015,-0.023,-0.023,-0.018,-0.013,0.005,0.004,0.000,-0.016,-0.036,-0.034,-0.023,-0.014,0.009,0.012,0.016,0.003,-0.036,-0.037,-0.023,-0.013,0.012,0.020,0.032,0.040,0.006,-0.017,-0.014,-0.009,-0.001,-0.004
7,0.001,-0.001,-0.008,-0.020,-0.031,-0.031,-0.023,-0.016,0.005,0.005,-0.002,-0.024,-0.049,-0.045,-0.030,-0.018,0.011,0.015,0.017,-0.002,-0.051,-0.049,-0.029,-0.017,0.015,0.024,0.039,0.046,0.003,-0.023,-0.018,-0.012,-0.002,-0.005
8,0.001,-0.003,-0.011,-0.027,-0.040,-0.039,-0.029,-0.020,0.006,0.004,-0.005,-0.032,-0.063,-0.056,-0.036,-0.022,0.012,0.017,0.018,-0.009,-0.068,-0.062,-0.036,-0.021,0.018,0.028,0.045,0.051,-0.002,-0.029,-0.022,-0.014,-0.003,-0.006
